timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
13 17 18 0.3983651870034454 0.001634812996554602
18 10 20 0.3964132900523353 0.0035867099476647457
29 1 4 0.3668651343676148 0.03313486563238521
30 1 4 0.3557539448529369 0.044246055147063146
31 1 4 0.34902678588526675 0.05097321411473327
31 10 15 0.36626272449673986 0.03373727550326017
32 1 4 0.35993175810499733 0.04006824189500269
32 10 15 0.34194611793707436 0.058053882062925666
33 1 4 0.3670255571962473 0.032974442803752724
36 1 6 0.39261888437850095 0.007381115621499068
